Sample_1,Sample_2,Euclidean_Similarity
SAM_006,SAM_049,0.756625877
SAM_006,SAM_050,0.723027392
SAM_006,SAM_051,0.665840094
SAM_006,SAM_052,0.724659296
SAM_006,SAM_053,0.239670738
SAM_006,SAM_054,0.712148644
SAM_006,SAM_055,0.737412164
SAM_006,SAM_056,0.589638865
SAM_006,SAM_057,0.704081594
SAM_006,SAM_058,0.711986133
SAM_006,SAM_059,0.816971286
SAM_006,SAM_060,0.618287187
SAM_006,SAM_061,0.694620615
SAM_006,SAM_062,0.680947136
SAM_006,SAM_063,0.565505736
SAM_006,SAM_064,0.516065222
SAM_006,SAM_065,0.683324072
SAM_006,SAM_066,0.285437648
SAM_006,SAM_067,0.568401438
SAM_006,SAM_068,0.668614101
SAM_006,SAM_069,0.719886439
SAM_006,SAM_070,0.519615752
SAM_006,SAM_071,0.650239558
SAM_006,SAM_072,0.442637762
SAM_006,SAM_073,0.810178836
SAM_006,SAM_074,0.509220199
SAM_006,SAM_075,0.614246223
SAM_006,SAM_076,0.643283234
SAM_006,SAM_077,0.522246734
SAM_006,SAM_078,0.648376435
SAM_006,SAM_079,0.658296001
SAM_006,SAM_080,0.376419901
SAM_006,SAM_081,0.666719701
SAM_006,SAM_082,0.683671781
SAM_006,SAM_083,0.670424685
SAM_006,SAM_084,0.332627931
SAM_006,SAM_085,0.534108907
SAM_006,SAM_086,0.68947494
SAM_006,SAM_087,0.239525753
SAM_006,SAM_088,0.753846567
SAM_006,SAM_089,0.735352863
SAM_006,SAM_090,0.745822591
SAM_006,SAM_091,0.582494926
SAM_006,SAM_092,0.703095938
SAM_006,SAM_093,0.509391019
SAM_006,SAM_094,0.608322333
SAM_006,SAM_095,0.64321455
SAM_006,SAM_096,0.663519645
SAM_006,SAM_097,0.686835467
SAM_006,SAM_098,0.642336082
SAM_006,SAM_099,0.593145181
SAM_006,SAM_100,0.679438607
SAM_007,SAM_008,0.684089976
SAM_007,SAM_009,0.336569218
SAM_007,SAM_010,0.576838256
SAM_007,SAM_011,0.225324679
SAM_007,SAM_012,0.640745042
SAM_007,SAM_013,0.559143287
SAM_007,SAM_014,0.60277925
SAM_007,SAM_015,0.547521255
SAM_007,SAM_016,0.694749962
SAM_007,SAM_017,0.794097136
SAM_007,SAM_018,0.577762105
SAM_007,SAM_019,0.59729607
SAM_007,SAM_020,0.298826892
SAM_007,SAM_021,0.719854871
SAM_007,SAM_022,0.476315902
SAM_007,SAM_023,0.42426195
SAM_007,SAM_024,0.659110878
SAM_007,SAM_025,0.61061226
SAM_007,SAM_026,0.341801872
SAM_007,SAM_027,0.8134427
SAM_007,SAM_028,0.552562793
SAM_007,SAM_029,0.528989988
SAM_007,SAM_030,0.527730378
SAM_007,SAM_031,0.611202748
SAM_007,SAM_032,0.561486824
SAM_007,SAM_033,0.665993361
SAM_007,SAM_034,0.49161013
SAM_007,SAM_035,0.726068
SAM_007,SAM_036,0.728662638
SAM_007,SAM_037,0.542894831
SAM_007,SAM_038,0.620463634
SAM_007,SAM_039,0.776909966
SAM_007,SAM_040,0.52703997
SAM_007,SAM_041,0.644360208
SAM_007,SAM_042,0.224452153
SAM_007,SAM_043,0.632387523
SAM_007,SAM_044,0.746375201
SAM_007,SAM_045,0.613594548
SAM_007,SAM_046,0.42709193
SAM_007,SAM_047,0.707274601
SAM_007,SAM_048,0.612421037
SAM_007,SAM_049,0.638086042
SAM_007,SAM_050,0.589747944
SAM_007,SAM_051,0.747782071
SAM_007,SAM_052,0.640993384
SAM_007,SAM_053,0.454562666
SAM_007,SAM_054,0.63537012
SAM_007,SAM_055,0.530398485
SAM_007,SAM_056,0.603372824
SAM_007,SAM_057,0.67622588
SAM_007,SAM_058,0.699149922
SAM_007,SAM_059,0.663055428
SAM_007,SAM_060,0.756669953
SAM_007,SAM_061,0.679812575
SAM_007,SAM_062,0.570252792
SAM_007,SAM_063,0.547568293
SAM_007,SAM_064,0.479826451
SAM_007,SAM_065,0.470350224
SAM_007,SAM_066,0.226224234
SAM_007,SAM_067,0.53550174
SAM_007,SAM_068,0.649043819
SAM_007,SAM_069,0.739451734
SAM_007,SAM_070,0.772314817
SAM_007,SAM_071,0.692672243
SAM_007,SAM_072,0.467418865
SAM_007,SAM_073,0.772813827
SAM_007,SAM_074,0.72665823
SAM_007,SAM_075,0.639405281
SAM_007,SAM_076,0.756839602
SAM_007,SAM_077,0.394349032
SAM_007,SAM_078,0.605013823
SAM_007,SAM_079,0.694054481
SAM_007,SAM_080,0.587457685
SAM_007,SAM_081,0.626728204
SAM_007,SAM_082,0.631145733
SAM_007,SAM_083,0.5627626
SAM_007,SAM_084,0.222744849
SAM_007,SAM_085,0.489829954
SAM_007,SAM_086,0.685160136
SAM_007,SAM_087,0.323603196
SAM_007,SAM_088,0.658152088
SAM_007,SAM_089,0.686179384
SAM_007,SAM_090,0.622402565
SAM_007,SAM_091,0.500521445
SAM_007,SAM_092,0.721062873
SAM_007,SAM_093,0.551640603
SAM_007,SAM_094,0.541447493
SAM_007,SAM_095,0.75442108
SAM_007,SAM_096,0.736966216
SAM_007,SAM_097,0.608830691
SAM_007,SAM_098,0.544216961
SAM_007,SAM_099,0.606647329
SAM_007,SAM_100,0.615929969
SAM_008,SAM_009,0.457865981
SAM_008,SAM_010,0.718460097
SAM_008,SAM_011,0.366840132
SAM_008,SAM_012,0.888171435
SAM_008,SAM_013,0.679480876
SAM_008,SAM_014,0.667075391
SAM_008,SAM_015,0.684139566
SAM_008,SAM_016,0.752158836
SAM_008,SAM_017,0.78650145
SAM_008,SAM_018,0.678188294
SAM_008,SAM_019,0.637256655
SAM_008,SAM_020,0.351427361
SAM_008,SAM_021,0.760706773
SAM_008,SAM_022,0.666331485
SAM_008,SAM_023,0.591493148
SAM_008,SAM_024,0.633083992
SAM_008,SAM_025,0.716530738
SAM_008,SAM_026,0.249256658
SAM_008,SAM_027,0.901089823
SAM_008,SAM_028,0.681020345
SAM_008,SAM_029,0.714466448
SAM_008,SAM_030,0.694787118
SAM_008,SAM_031,0.545722828
SAM_008,SAM_032,0.606305001
SAM_008,SAM_033,0.920483996
SAM_008,SAM_034,0.616817057
SAM_008,SAM_035,0.644057851
SAM_008,SAM_036,0.514688862
SAM_008,SAM_037,0.618040948
SAM_008,SAM_038,0.711282381
SAM_008,SAM_039,0.676353339
SAM_008,SAM_040,0.637848653
SAM_008,SAM_041,0.788342136
SAM_008,SAM_042,0.371685839
SAM_008,SAM_043,0.824535443
