Sample_1,Sample_2,Euclidean_Distance,Euclidean_Similarity
SAM_004,SAM_054,0.3863316748598281,0.721328105051852
SAM_007,SAM_069,0.3864282770450423,0.7212778450619498
SAM_017,SAM_047,0.3864543683282672,0.7212642715430737
SAM_013,SAM_059,0.3866427358686569,0.7211662918881221
SAM_045,SAM_063,0.3868890370636004,0.7210382181095442
SAM_001,SAM_096,0.387004867023659,0.7209780035926452
SAM_079,SAM_092,0.3870207279978684,0.7209697590053152
SAM_071,SAM_096,0.3870351370353859,0.7209622693029788
SAM_038,SAM_061,0.3870372135854639,0.720961189941703
SAM_027,SAM_097,0.3871711997295253,0.7208915526756776
SAM_010,SAM_048,0.3871918590311526,0.7208808165140355
SAM_014,SAM_054,0.3872270381830276,0.720862535457633
SAM_005,SAM_024,0.387416461704972,0.7207641163282129
SAM_089,SAM_094,0.3875906278536672,0.7206736482119409
SAM_017,SAM_092,0.3875918006098683,0.7206730391174727
SAM_058,SAM_086,0.388003414546831,0.7204593227362411
SAM_055,SAM_061,0.3881327449468801,0.7203921985416943
SAM_006,SAM_055,0.3881330565669458,0.7203920368218483
SAM_038,SAM_076,0.3881764198144962,0.7203695335306383
SAM_017,SAM_049,0.3884047231947623,0.7202510790218064
SAM_059,SAM_086,0.3884602750603979,0.7202222619991776
SAM_056,SAM_082,0.3884782983642715,0.7202129130704259
SAM_007,SAM_096,0.3885058030454629,0.7201986464922665
SAM_041,SAM_089,0.388597547084384,0.7201510632794103
SAM_008,SAM_069,0.3887203386755058,0.7200873870355723
SAM_014,SAM_078,0.3887318103783121,0.7200814387103183
SAM_057,SAM_095,0.3888096435275236,0.7200410831393984
SAM_017,SAM_088,0.3890269827402721,0.7199284192645418
SAM_050,SAM_057,0.3890484764139297,0.7199172793318732
SAM_004,SAM_059,0.389071658695413,0.7199052645989329
SAM_061,SAM_071,0.3891319945725357,0.7198739960688332
SAM_045,SAM_081,0.3892074601032205,0.7198348905538545
SAM_059,SAM_079,0.3892892310352291,0.7197925224359868
SAM_018,SAM_086,0.3893017555829924,0.7197860335103156
SAM_025,SAM_068,0.3893426534557959,0.7197648452760301
SAM_078,SAM_088,0.3895008059041727,0.719682921917618
SAM_014,SAM_041,0.3895630160834059,0.7196507020016838
SAM_021,SAM_044,0.3895748361996703,0.719644580449432
SAM_005,SAM_092,0.3896900372090618,0.7195849241376998
SAM_006,SAM_089,0.3898543274096108,0.7194998643230365
SAM_008,SAM_082,0.3898997877660361,0.7194763311729719
SAM_061,SAM_082,0.3900467438653987,0.719400267950149
SAM_001,SAM_008,0.3901476690946647,0.7193480392275527
SAM_005,SAM_045,0.3903663358948874,0.7192349053505857
SAM_060,SAM_089,0.3904494816234233,0.7191918967328803
SAM_004,SAM_090,0.3908095767762095,0.7190056904252298
SAM_045,SAM_086,0.3908435135703291,0.7189881465765876
SAM_074,SAM_095,0.3909002889484734,0.7189587980860974
SAM_001,SAM_073,0.3909344734095473,0.7189411285125001
SAM_004,SAM_017,0.3909453598650327,0.7189355016052053
SAM_095,SAM_096,0.3910636370208817,0.7188743730959798
SAM_041,SAM_049,0.3912726617079194,0.7187663694709597
SAM_010,SAM_054,0.3913884244583633,0.7187065685049651
SAM_019,SAM_022,0.3913932670601271,0.718704067120361
SAM_062,SAM_099,0.3915382945511205,0.7186291630749392
SAM_025,SAM_096,0.3915404205187505,0.7186280651676732
SAM_017,SAM_033,0.391553534270858,0.7186212929450658
SAM_012,SAM_092,0.3919046830544386,0.7184399996453559
SAM_073,SAM_089,0.3921519554968456,0.7183123911520921
SAM_001,SAM_082,0.3922684218746138,0.7182523027086647
SAM_059,SAM_069,0.3923514894836006,0.7182094518180053
SAM_058,SAM_071,0.3923708909947321,0.7181994441765326
SAM_038,SAM_082,0.3924147847622462,0.7181768040266459
SAM_059,SAM_082,0.3924202628560355,0.7181739785579316
SAM_028,SAM_033,0.3925484293689124,0.7181078797045422
SAM_005,SAM_054,0.3926316400903014,0.7180649722529339
SAM_058,SAM_060,0.3928156558743554,0.7179701030659645
SAM_019,SAM_095,0.3928256398200097,0.717964956567878
SAM_017,SAM_035,0.3928874464779957,0.71793309827622
SAM_043,SAM_054,0.3930425426083034,0.7178531662985834
SAM_043,SAM_061,0.3931450042923094,0.7178003703268351
SAM_054,SAM_071,0.3933189488188943,0.717710758794813
SAM_047,SAM_081,0.393383731997143,0.7176773899654302
SAM_014,SAM_089,0.3933925463198305,0.717672850081736
SAM_004,SAM_086,0.3934253302724673,0.7176559649625878
SAM_039,SAM_045,0.3935411941588834,0.717596296536883
SAM_014,SAM_043,0.3936092036525568,0.7175612771349864
SAM_071,SAM_089,0.3937215413207664,0.7175034397849269
SAM_017,SAM_028,0.3938561486126628,0.717434149137501
SAM_008,SAM_068,0.3939144451527514,0.7174041444777591
SAM_047,SAM_074,0.393991604859799,0.7173644349892446
SAM_088,SAM_090,0.3940583223331287,0.7173301030378533
SAM_039,SAM_076,0.3940705807339593,0.7173237953802264
SAM_013,SAM_025,0.3942011467512493,0.7172566184801871
SAM_013,SAM_022,0.3943195630450003,0.7171957035560333
SAM_045,SAM_071,0.3943911889228764,0.7171588632688283
SAM_014,SAM_038,0.3946109546122611,0.717045851886361
SAM_043,SAM_079,0.3949755763335247,0.7168584288969013
SAM_021,SAM_051,0.3950974107735965,0.7167958253506393
SAM_082,SAM_089,0.3951499248386617,0.7167688448362582
SAM_016,SAM_096,0.3953776010347576,0.7166518935508489
SAM_007,SAM_036,0.3954463667806293,0.7166165778961856
SAM_018,SAM_037,0.3954929545516582,0.7165926540426558
SAM_027,SAM_069,0.3956537329534501,0.7165101030352443
SAM_005,SAM_059,0.3956543524340406,0.7165097850022724
SAM_010,SAM_015,0.3956671459699428,0.7165032170367762
SAM_044,SAM_095,0.3957044867069363,0.716484047679339
SAM_039,SAM_073,0.3958353861139754,0.7164168568501573
