Sample_1,Sample_2,Jaccard,Euclidean,Cosine,Joint_Similarity,Common_Substance
SAM_074,SAM_097,0.5,0.836902045,0.772831318,0.703940323,Noscapine
SAM_008,SAM_052,0.454545455,0.886905107,0.765272251,0.702871251,Cocaine
SAM_008,SAM_052,0.454545455,0.886905107,0.765272251,0.702871251,Noscapine
SAM_008,SAM_052,0.454545455,0.886905107,0.765272251,0.702871251,Meconine
SAM_008,SAM_052,0.454545455,0.886905107,0.765272251,0.702871251,Acetylcodeine
SAM_008,SAM_052,0.454545455,0.886905107,0.765272251,0.702871251,Phenacetin
SAM_081,SAM_097,0.5,0.852565983,0.753541164,0.70255077,Cocaine
SAM_081,SAM_097,0.5,0.852565983,0.753541164,0.70255077,Diacetamate
SAM_081,SAM_097,0.5,0.852565983,0.753541164,0.70255077,Heroin
SAM_081,SAM_097,0.5,0.852565983,0.753541164,0.70255077,Caffeine
SAM_081,SAM_097,0.5,0.852565983,0.753541164,0.70255077,Phenacetin
SAM_050,SAM_054,0.461538462,0.887890622,0.751585222,0.700850573,Triacetin
SAM_050,SAM_054,0.461538462,0.887890622,0.751585222,0.700850573,Ecgonidine methyl ester
SAM_050,SAM_054,0.461538462,0.887890622,0.751585222,0.700850573,Meconine
SAM_050,SAM_054,0.461538462,0.887890622,0.751585222,0.700850573,Heroin
SAM_050,SAM_054,0.461538462,0.887890622,0.751585222,0.700850573,Ecgonine methyl ester
SAM_050,SAM_054,0.461538462,0.887890622,0.751585222,0.700850573,Phenacetin
SAM_012,SAM_027,0.333333333,0.9362719,0.821363774,0.69823341,Cocaine
SAM_012,SAM_027,0.333333333,0.9362719,0.821363774,0.69823341,Meconine
SAM_012,SAM_027,0.333333333,0.9362719,0.821363774,0.69823341,Acetylcodeine
SAM_012,SAM_027,0.333333333,0.9362719,0.821363774,0.69823341,Caffeine
SAM_012,SAM_027,0.333333333,0.9362719,0.821363774,0.69823341,Phenacetin
SAM_012,SAM_088,0.5,0.865168539,0.721186014,0.695708863,Ecgonidine methyl ester
SAM_012,SAM_088,0.5,0.865168539,0.721186014,0.695708863,Noscapine
SAM_012,SAM_088,0.5,0.865168539,0.721186014,0.695708863,Meconine
SAM_012,SAM_088,0.5,0.865168539,0.721186014,0.695708863,Acetylcodeine
SAM_012,SAM_088,0.5,0.865168539,0.721186014,0.695708863,Caffeine
SAM_012,SAM_088,0.5,0.865168539,0.721186014,0.695708863,Phenacetin
SAM_015,SAM_043,0.384615385,0.876203826,0.819946153,0.694852032,Cocaine
SAM_015,SAM_043,0.384615385,0.876203826,0.819946153,0.694852032,Diacetamate
SAM_015,SAM_043,0.384615385,0.876203826,0.819946153,0.694852032,Meconine
SAM_015,SAM_043,0.384615385,0.876203826,0.819946153,0.694852032,Acetylcodeine
SAM_015,SAM_043,0.384615385,0.876203826,0.819946153,0.694852032,6-Monoacetylmorphine
SAM_057,SAM_058,0.454545455,0.868964677,0.75148596,0.69226357,Diacetamate
SAM_057,SAM_058,0.454545455,0.868964677,0.75148596,0.69226357,Hydrocotarnine
SAM_057,SAM_058,0.454545455,0.868964677,0.75148596,0.69226357,Acetaminophen
SAM_057,SAM_058,0.454545455,0.868964677,0.75148596,0.69226357,Heroin
SAM_057,SAM_058,0.454545455,0.868964677,0.75148596,0.69226357,Caffeine
SAM_071,SAM_081,0.461538462,0.872579721,0.739649953,0.691739984,Cocaine
SAM_071,SAM_081,0.461538462,0.872579721,0.739649953,0.691739984,Acetylcodeine
SAM_071,SAM_081,0.461538462,0.872579721,0.739649953,0.691739984,Ecgonine methyl ester
SAM_071,SAM_081,0.461538462,0.872579721,0.739649953,0.691739984,Heroin
SAM_071,SAM_081,0.461538462,0.872579721,0.739649953,0.691739984,Caffeine
