Sample_1,Sample_2,Cosine_Similarity
SAM_024,SAM_047,0.5137943453322359
SAM_060,SAM_090,0.5133951564487959
SAM_037,SAM_081,0.5133165081782247
SAM_014,SAM_028,0.513133591807089
SAM_008,SAM_041,0.5130648133224885
SAM_055,SAM_090,0.512554629218958
SAM_030,SAM_034,0.5121428315002587
SAM_028,SAM_092,0.5120327451672081
SAM_012,SAM_075,0.5119399504505631
SAM_038,SAM_076,0.5116612644387416
SAM_040,SAM_059,0.5116068862599898
SAM_051,SAM_059,0.5110196836117885
SAM_008,SAM_030,0.510591894567541
SAM_079,SAM_093,0.5098736434795912
SAM_028,SAM_093,0.5094733242513324
SAM_012,SAM_016,0.5093440877083684
SAM_088,SAM_089,0.5092440227187759
SAM_014,SAM_067,0.509080350612407
SAM_008,SAM_022,0.5089849936576778
SAM_017,SAM_035,0.5088060333913158
SAM_086,SAM_092,0.5085542732596937
SAM_015,SAM_066,0.5080056208970942
SAM_018,SAM_028,0.5079801569758075
SAM_039,SAM_080,0.5079630368849638
SAM_038,SAM_072,0.507850029071283
SAM_031,SAM_069,0.507591861710943
SAM_054,SAM_094,0.5073548465786996
SAM_010,SAM_019,0.5071773453485241
SAM_008,SAM_092,0.5071592521848073
SAM_028,SAM_056,0.5068185798744473
SAM_016,SAM_097,0.5067752208929885
SAM_022,SAM_050,0.5064702859155493
SAM_010,SAM_049,0.5062883495598292
SAM_095,SAM_096,0.5062581566840121
SAM_026,SAM_089,0.505938571187669
SAM_022,SAM_088,0.5056113470715307
SAM_007,SAM_080,0.5055854207722948
SAM_064,SAM_072,0.5051372495449826
SAM_006,SAM_088,0.5048702703962835
SAM_051,SAM_088,0.5045537021739411
SAM_011,SAM_049,0.5040785664796893
SAM_051,SAM_090,0.5038743166862838
SAM_033,SAM_058,0.5035690676184821
SAM_016,SAM_074,0.5027040915859587
SAM_021,SAM_059,0.5024705477072322
SAM_012,SAM_017,0.5024510037975792
SAM_015,SAM_079,0.502032367485627
SAM_016,SAM_069,0.5020291358686763
SAM_013,SAM_071,0.5019733090812474
SAM_038,SAM_081,0.5016775708361237
SAM_081,SAM_096,0.5011098309647046
SAM_014,SAM_078,0.5008419205881746
SAM_075,SAM_093,0.5007446106082444
SAM_033,SAM_052,0.5007393197140758
SAM_001,SAM_020,0.5006789482763772
SAM_035,SAM_039,0.5005404047187753
SAM_049,SAM_090,0.5004856420882794
SAM_028,SAM_059,0.5004084847997846
SAM_068,SAM_075,0.5002574992596425
SAM_072,SAM_080,0.4999639560867618
SAM_008,SAM_023,0.4993410670363764
SAM_001,SAM_014,0.4993044236253601
SAM_021,SAM_076,0.49912905569974475
SAM_046,SAM_094,0.49883855374265207
SAM_046,SAM_090,0.4986608806247089
SAM_034,SAM_076,0.49864493185189807
SAM_001,SAM_058,0.49823132123747127
SAM_060,SAM_086,0.4975711192842322
SAM_001,SAM_060,0.49756180700506386
SAM_008,SAM_079,0.49748751051531903
SAM_008,SAM_078,0.4970713024439584
SAM_021,SAM_022,0.49693657485949005
SAM_023,SAM_088,0.49681427864011063
SAM_021,SAM_090,0.49654702482256774
SAM_082,SAM_086,0.4964188871513316
SAM_079,SAM_092,0.4963310607863473
SAM_047,SAM_095,0.49631131721805716
SAM_041,SAM_049,0.49604997493079367
SAM_001,SAM_081,0.49571704473457906
SAM_069,SAM_080,0.49556936002796836
SAM_044,SAM_049,0.4954759846962688
SAM_044,SAM_047,0.49515363216407515
SAM_055,SAM_081,0.4948797256451961
SAM_043,SAM_048,0.4948577480952762
SAM_022,SAM_034,0.49442994924364436
SAM_002,SAM_027,0.4938604260021802
SAM_067,SAM_083,0.4933590186155366
SAM_039,SAM_070,0.49284846468993204
SAM_019,SAM_064,0.4928192917104133
SAM_004,SAM_014,0.49259140182933436
SAM_079,SAM_090,0.4923130957810125
SAM_013,SAM_018,0.4919404102897142
SAM_051,SAM_094,0.4912536271178548
SAM_058,SAM_095,0.49121383712913813
SAM_015,SAM_073,0.4911968810144677
SAM_048,SAM_066,0.49112308175054065
SAM_082,SAM_090,0.4909216136948776
SAM_051,SAM_079,0.490892819341899
SAM_037,SAM_047,0.4906622118892775
SAM_078,SAM_081,0.4906584575909454
SAM_038,SAM_097,0.4906064350958703
SAM_008,SAM_068,0.49054347858402286
SAM_045,SAM_081,0.4904825715672311
SAM_005,SAM_073,0.4903893273080545
SAM_004,SAM_079,0.4903220365651091
SAM_008,SAM_015,0.49014070980146945
SAM_021,SAM_080,0.48994715982662673
SAM_021,SAM_034,0.4898910595018279
SAM_024,SAM_081,0.48968825677078226
SAM_033,SAM_055,0.4892715787610376
SAM_002,SAM_012,0.4892660611326498
SAM_049,SAM_082,0.4892334751622801
SAM_052,SAM_055,0.48895235553305666
SAM_021,SAM_079,0.48893593443757744
SAM_073,SAM_095,0.48869414853435206
SAM_049,SAM_065,0.4886117000151018
SAM_039,SAM_052,0.48848670543547507
SAM_035,SAM_047,0.48828373245939205
SAM_021,SAM_088,0.4880749286695465
SAM_062,SAM_063,0.4878330529347745
SAM_040,SAM_073,0.48766365766496667
SAM_040,SAM_042,0.48703058693247847
SAM_007,SAM_092,0.4870221510774329
SAM_047,SAM_091,0.4868033962264554
